Fold,Best Lambda,LogReg Error,Best Hidden Units,ANN Error,Baseline Error
1,0.026366508987303555,0.27184466019417475,2048,0.13592233009708737,0.6699029126213593
2,1e-10,0.24271844660194175,1024,0.14563106796116504,0.6699029126213593
3,1e-10,0.3300970873786408,1024,0.17475728155339806,0.6699029126213593
4,1e-10,0.34951456310679613,256,0.1650485436893204,0.6699029126213593
5,1e-10,0.3300970873786408,128,0.14563106796116504,0.6699029126213593
6,1e-10,0.34951456310679613,256,0.1941747572815534,0.6699029126213593
7,0.2976351441631313,0.23300970873786409,2048,0.11650485436893204,0.6601941747572816
8,1e-10,0.3106796116504854,512,0.1650485436893204,0.6601941747572816
9,1e-10,0.3786407766990291,2048,0.1650485436893204,0.6601941747572816
10,1e-10,0.27184466019417475,1024,0.08737864077669903,0.6601941747572816
