Fold,Best Lambda,Test Error,Baseline Error
1,0.0001,0.18446601941747576,0.5048543689320388
2,0.0001,0.15533980582524276,0.5048543689320388
3,0.046415888336127774,0.15533980582524276,0.5048543689320388
4,0.0001,0.19417475728155342,0.5048543689320388
5,0.0001,0.15533980582524276,0.5048543689320388
6,0.0001,0.12621359223300976,0.5048543689320388
7,0.0001,0.1456310679611651,0.5048543689320388
8,0.046415888336127774,0.1456310679611651,0.5048543689320388
9,0.0001,0.13592233009708743,0.5048543689320388
10,0.046415888336127774,0.15533980582524276,0.5048543689320388
